Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Year Published,Original Publication Year,Date Read,Date Added,Shelves,Bookshelves,My Review,Additional Authors,Ratings Count,Shelf,Genre,Format,Series / Section,Volume,Pages,Awards,Notes
The Search for Modern China,"Spence, Jonathan D.",,,,W. W. Norton,,2013,,,,,nonfiction history,,"Chen, Janet",,nonfiction,History,Standalone,VII · China,,1008,,
A Brief History of Japan,"Clements, Jonathan",,,,Tuttle,Paperback,2017,,,,,nonfiction history,,,,nonfiction,History,Standalone,VIII · Japan,,256,,
Kojiki: An Account of Ancient Matters,Ō no Yasumaro (comp.),,,,Columbia University Press,,2014,,,,,nonfiction history,,,,nonfiction,History,Standalone,VIII · Japan,,328,,The source list gives no author. The Kojiki was compiled by Ō no Yasumaro in 712. Donald Philippi's 1968 scholarly translation runs about 655 pp; Heldt's is the readable one.
The Pillow Book,Sei Shōnagon,,,,Penguin Classics,,2006,,,,,nonfiction history,,,,nonfiction,History,Standalone,VIII · Japan,,416,,
The Tale of Genji,Murasaki Shikibu,,,,Penguin Classics,,2001,,,,,nonfiction history,,,,nonfiction,History,Standalone,VIII · Japan,,1216,PEN/Book-of-the-Month Club Translation Prize (2003) — Royall Tyler,"Seidensticker's runs about 1,120 pp, Waley's abridged version about 1,136, Washburn's 2015 version about 1,344."
The Tale of the Heike,Anonymous,,,,Viking,,2012,,,,,nonfiction history,,,,nonfiction,History,Standalone,VIII · Japan,,784,,"The source list gives the author as 'YUKINAGA, Shōbutsu', which merges two names from the traditional attribution — the monk Yukinaga as compiler and the biwa player Shōbutsu as performer. The work is effectively anonymous."
Samurai: A Concise History,"Wert, Michael",,,,Oxford University Press,Paperback,2019,,,,,nonfiction history,,,,nonfiction,History,Standalone,VIII · Japan,,208,,
The Making of Modern Japan,"Jansen, Marius B.",,,,Harvard University Press,Paperback,2000,,,,,nonfiction history,,,,nonfiction,History,Standalone,VIII · Japan,,936,,
"Emperor of Japan: Meiji and His World, 1852–1912","Keene, Donald",,,,Columbia University Press,Hardcover,2002,,,,,nonfiction history,,,,nonfiction,History,Standalone,VIII · Japan,,922,,
Embracing Defeat: Japan in the Wake of World War II,"Dower, John W.",,,,W. W. Norton,Paperback,1999,,,,,nonfiction history,,,,nonfiction,History,Standalone,VIII · Japan,,676,Pulitzer Prize for General Non-Fiction (1999); National Book Award for Nonfiction (1999); Bancroft Prize (2000),
"A Concise History of Korea, Volumes I–II","Seth, Michael J.",,,3.8,Rowman & Littlefield,,2016,,,,,nonfiction history,,,45,nonfiction,History,Multi-volume work,IX · Korea,,674,,"Confirmed as a two-volume set: a premodern volume and a modern one. Rowman also publishes a single-volume A Concise History of Korea: From Antiquity to the Present (2nd ed. 2016, 626 pp; 3rd ed. 2019, 612 pp) covering the same ground — worth checking which one you actually want."
The Imjin War: Japan's Sixteenth-Century Invasion of Korea and Attempt to Conquer China,"Hawley, Samuel",,,,Conquistador Press,,2005,,,,,nonfiction history,,,,nonfiction,History,Standalone,IX · Korea,,664,,
The Memoirs of Lady Hyegyŏng,Lady Hyegyŏng,,,,University of California Press,,1996,,,,,nonfiction history,,,,nonfiction,History,Standalone,IX · Korea,,396,,"The source list renders the author as 'HŎNG SŎK-HYEGYŎNGGUNG', which is garbled. She is Lady Hyegyŏng (Hyegyŏnggung Hong Ssi), crown princess of Chosŏn."
The Story of Hong Gildong,"Kang, Minsoo (trans./ed.)",,,,Penguin,,2016,,,,,nonfiction history,,,,nonfiction,History,Standalone,IX · Korea,,128,,The shortest book in the canon.
Central Asia in World History,"Golden, Peter B.",,,,Oxford University Press,Paperback,2011,,,,,nonfiction history,,,,nonfiction,History,Standalone,X · Steppe Civilizations,,200,,
Ancient China and Its Enemies: The Rise of Nomadic Power in East Asian History,"Di Cosmo, Nicola",,,,Cambridge University Press,Paperback,2002,,,,,nonfiction history,,,,nonfiction,History,Standalone,X · Steppe Civilizations,,392,,
"The Perilous Frontier: Nomadic Empires and China, 221 BC to AD 1757","Barfield, Thomas J.",,,,Blackwell,Paperback,1989,,,,,nonfiction history,,,,nonfiction,History,Standalone,X · Steppe Civilizations,,336,,
The Mongol Empire,"May, Timothy",,,,Edinburgh University Press,Paperback,2018,,,,,nonfiction history,,,,nonfiction,History,Standalone,X · Steppe Civilizations,,448,,
The Tibetans,"Kapstein, Matthew T.",,,,Blackwell,Paperback,2006,,,,,nonfiction history,,,,nonfiction,History,Standalone,XI · Tibet,,360,,
Tibet: A History,"van Schaik, Sam",,,,Yale University Press,Paperback,2011,,,,,nonfiction history,,,,nonfiction,History,Standalone,XI · Tibet,,344,,
The Tibetan Empire in Central Asia,"Beckwith, Christopher I.",,,,Princeton University Press,Paperback,1987,,,,,nonfiction history,,,,nonfiction,History,Standalone,XI · Tibet,,281,,
The Reconquest of Spain,"Lomax, Derek W.",,,,Longman,Paperback,1978,,,,,nonfiction history,,,,nonfiction,History,Standalone,XII · Iberia / Spain,,213,,Long out of print and hard to find; the most likely gap in this section.
The Quest for El Cid,"Fletcher, Richard",,,,Oxford University Press,Paperback,1989,,,,,nonfiction history,,,,nonfiction,History,Standalone,XII · Iberia / Spain,,240,"Wolfson History Prize (1989); Los Angeles Times Book Prize, History (1990)",
The Cid and His Spain,"Menéndez Pidal, Ramón",,,,Frank Cass,,1934,,,,,nonfiction history,,,,nonfiction,History,Standalone,XII · Iberia / Spain,,513,,The source list files this under 'PIDAL' — the surname is Menéndez Pidal.
"Imperial Spain, 1469–1716","Elliott, J. H.",,,,Penguin,Paperback,1963,,,,,nonfiction history,,,,nonfiction,History,Standalone,XII · Iberia / Spain,,448,,
The Conquest of New Spain,"Díaz del Castillo, Bernal",,,,Penguin Classics,,1963,,,,,nonfiction history,,,,nonfiction,History,Standalone,XII · Iberia / Spain,,412,,Cohen's Penguin text is abridged. Janet Burke and Ted Humphrey's 2012 Hackett translation is fuller at about 528 pp.
Anglo-Saxon England,"Stenton, Frank M.",,,,Oxford University Press,,1971,,,,,nonfiction history,,,,nonfiction,History,Standalone,XIII · England,,765,,
The Anglo-Saxon Chronicle,Anonymous,,,,Phoenix / Routledge,,1996,,,,,nonfiction history,,,,nonfiction,History,Standalone,XIII · England,,384,,A composite of several manuscript recensions rather than a single text; Swanton prints them in parallel.
Foundation: The History of England from Its Earliest Beginnings to the Tudors,"Ackroyd, Peter",,,,St. Martin's Press,Hardcover,2011,,,,,nonfiction history,,,,nonfiction,History,Standalone,XIII · England,1,496,,First of six volumes; only this one is in the canon.
"The Sinews of Power: War, Money and the English State, 1688–1783","Brewer, John",,,,Harvard University Press,Paperback,1988,,,,,nonfiction history,,,,nonfiction,History,Standalone,XIII · England,,320,,
Chronicles,"Froissart, Jean",,,,Penguin Classics,,1978,,,,,nonfiction history,,,,nonfiction,History,Standalone,XIV · France,,496,,Heavily abridged. The complete Chronicles run to several thousand pages and have no modern full English edition.
"Memoirs: The Reign of Louis XI, 1461–83","Commynes, Philippe de",,,,Penguin Classics,,1972,,,,,nonfiction history,,,,nonfiction,History,Standalone,XIV · France,,424,,
The Old Regime and the French Revolution,"Tocqueville, Alexis de",,,,Anchor / Doubleday,,1856,,,,,nonfiction history,,,,nonfiction,History,Standalone,XIV · France,,320,,The University of Chicago's Alan Kahan translation is a two-volume scholarly edition; the Anchor one-volume is the reading edition.
Citizens: A Chronicle of the French Revolution,"Schama, Simon",,,,Knopf,Hardcover,1989,,,,,nonfiction history,,,,nonfiction,History,Standalone,XIV · France,,948,,
A Concise History of France,"Price, Roger",,,,Cambridge University Press,,2014,,,,,nonfiction history,,,,nonfiction,History,Standalone,XIV · France,,500,,
A History of the American People,"Johnson, Paul",,,,HarperCollins,Paperback,1997,,,,,nonfiction history,,,,nonfiction,History,Standalone,XV · United States,,1104,,Openly polemical and the most ideologically committed book in the canon; useful to read against Bailyn and McPherson rather than alone.
Battle Cry of Freedom: The Civil War Era,"McPherson, James M.",,,,Oxford University Press,,1988,,,,,nonfiction history,,,,nonfiction,History,Standalone,XV · United States,,904,Pulitzer Prize for History (1989),
Personal Memoirs,"Grant, Ulysses S.",,,,Charles L. Webster & Co.,,1885–86,,,,,nonfiction history,,,,nonfiction,History,Multi-volume work,XV · United States,,1232,,"Originally two volumes. Modern one-volume editions (Penguin Classics, Library of America) run about 800 pp; the Library of America text adds Grant's selected letters and runs to roughly 1,200."
The Ideological Origins of the American Revolution,"Bailyn, Bernard",,,,Harvard University Press,,1992,,,,,nonfiction history,,,,nonfiction,History,Standalone,XV · United States,,448,Pulitzer Prize for History (1968); Bancroft Prize (1968),
"Europe: The Struggle for Supremacy, 1453 to the Present","Simms, Brendan",,,,Basic Books,Hardcover,2013,,,,,nonfiction history,,,,nonfiction,History,Standalone,Capstone,,720,,
